id,name,icon,original_price,price,discount,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,events.events.type,events.events.arg,events.events.arg,events.events.arg,events.events.arg,first_events.events.type,first_events.events.arg,first_events.events.arg,days,day_events.events.type,day_events.events.arg,day_events.events.arg,day_events.events.type,day_events.events.arg,day_events.events.arg,day_events.events.type,day_events.events.arg,day_events.events.arg,day_events.events.type,day_events.events.arg,day_events.events.arg,day_events_mail,yunying_id,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_events.events.type,rebate_events.events.arg,rebate_events.events.arg,rebate_percent,merge_change_name_mail,type
10207,超值花魂养成礼包7,icon/item/giftbox_1,150,68,200,ADD_RESOURCE,VIP_EXP,680,,,ADD_ITEM,19,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10207,ADD_RESOURCE,VIP_EXP,340,ADD_ITEM,19,15,,,,,,,,,,,,,,,,,,,2000,True,
10208,超值花魂养成礼包8,icon/item/giftbox_1,200,98,300,ADD_RESOURCE,VIP_EXP,980,,,ADD_ITEM,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10208,ADD_RESOURCE,VIP_EXP,490,ADD_ITEM,19,20,,,,,,,,,,,,,,,,,,,2000,True,
10301,浪漫诗会礼包,icon/item/giftbox_3,300,168,500,ADD_RESOURCE,VIP_EXP,1680,,,ADD_RESOURCE,COUPON_B,12,,,DROP,30001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10301,ADD_RESOURCE,VIP_EXP,840,ADD_RESOURCE,COUPON_B,12,DROP,30001,1,,,,,,,,,,,,,,,,2000,,
10302,开服七日体力礼包,icon/item/giftbox_2,36,12,300,ADD_RESOURCE,VIP_EXP,120,,,ADD_RESOURCE,DIAMOND,120,,,ADD_RESOURCE,POWER,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10302,ADD_RESOURCE,VIP_EXP,60,ADD_RESOURCE,DIAMOND,120,ADD_RESOURCE,POWER,120,,,,,,,,,,,,,,,,2000,,
10303,每日银饼礼包,icon/item/giftbox_1,36,12,300,ADD_RESOURCE,VIP_EXP,120,,,ADD_RESOURCE,DIAMOND,120,,,ADD_ITEM,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10303,ADD_RESOURCE,VIP_EXP,60,ADD_RESOURCE,DIAMOND,120,ADD_ITEM,6,10,,,,,,,,,,,,,,,,2000,,
10401,限时学识礼包,icon/item/giftbox_1,170,68,500,ADD_RESOURCE,VIP_EXP,680,,,ADD_RESOURCE,DIAMOND,300,,,ADD_ITEM,33,2,,,ADD_ITEM,41,2,,,ADD_ITEM,37,2,,,ADD_ITEM,32,5,,,ADD_ITEM,40,5,,,ADD_ITEM,36,5,,,,,,,,,,,,,,,,,,,,ks10401,ADD_RESOURCE,VIP_EXP,340,ADD_RESOURCE,DIAMOND,300,ADD_ITEM,33,2,ADD_ITEM,41,2,ADD_ITEM,37,2,ADD_ITEM,32,5,ADD_ITEM,40,5,ADD_ITEM,36,5,2000,,
10402,限时诰封礼包,icon/item/giftbox_1,150,68,500,ADD_RESOURCE,VIP_EXP,680,,,ADD_RESOURCE,DIAMOND,300,,,ADD_ITEM,51,2,,,ADD_ITEM,54,2,,,ADD_ITEM,57,2,,,ADD_ITEM,60,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10402,ADD_RESOURCE,VIP_EXP,340,ADD_RESOURCE,DIAMOND,300,ADD_ITEM,51,2,ADD_ITEM,54,2,ADD_ITEM,57,2,ADD_ITEM,60,2,,,,,,,2000,,
10403,限时花魂养成礼包,icon/item/giftbox_1,170,68,500,ADD_RESOURCE,VIP_EXP,680,,,ADD_RESOURCE,DIAMOND,300,,,ADD_EQUIPMENT,1003,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10403,ADD_RESOURCE,VIP_EXP,340,ADD_RESOURCE,DIAMOND,300,ADD_EQUIPMENT,1003,1,,,,,,,,,,,,,,,,2000,,
10404,限时花魂突破礼包,icon/item/giftbox_1,150,68,500,ADD_RESOURCE,VIP_EXP,680,,,ADD_RESOURCE,DIAMOND,300,,,ADD_ITEM,85,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10404,ADD_RESOURCE,VIP_EXP,340,ADD_RESOURCE,DIAMOND,300,ADD_ITEM,85,3,,,,,,,,,,,,,,,,2000,,
10405,限时花魂洗练礼包,icon/item/giftbox_1,150,68,500,ADD_RESOURCE,VIP_EXP,680,,,ADD_RESOURCE,DIAMOND,300,,,ADD_ITEM,24,10,,,ADD_RESOURCE,GOLD,500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10405,ADD_RESOURCE,VIP_EXP,340,ADD_RESOURCE,DIAMOND,300,ADD_ITEM,24,10,ADD_RESOURCE,GOLD,500000,,,,,,,,,,,,,2000,,
10406,限时红鸾星魂礼包,icon/item/giftbox_1,170,68,500,ADD_RESOURCE,VIP_EXP,680,,,ADD_RESOURCE,DIAMOND,300,,,ADD_RESOURCE,STAR_SOUL,100,,,ADD_RESOURCE,FENG_YU,10,,,ADD_RESOURCE,STAR_IRON,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10406,ADD_RESOURCE,VIP_EXP,340,ADD_RESOURCE,DIAMOND,300,ADD_RESOURCE,STAR_SOUL,100,ADD_RESOURCE,FENG_YU,10,ADD_RESOURCE,STAR_IRON,10,,,,,,,,,,2000,,
10407,限时时装养成礼包,icon/item/giftbox_1,150,68,500,ADD_RESOURCE,VIP_EXP,680,,,ADD_RESOURCE,DIAMOND,300,,,ADD_ITEM,5005,3,,,ADD_ITEM,5008,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10407,ADD_RESOURCE,VIP_EXP,340,ADD_RESOURCE,DIAMOND,300,ADD_ITEM,5005,3,ADD_ITEM,5008,1,,,,,,,,,,,,,2000,,
10501,限时拓跋浚礼包,icon/item/giftbox_1,1800,648,350,ADD_RESOURCE,VIP_EXP,6480,,,ADD_RESOURCE,DIAMOND,1888,,,ACTOR_ADD_SKIN,10202,,,,ADD_ITEM,102,30,,,ADD_ITEM,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10501,ADD_RESOURCE,VIP_EXP,3240,ADD_RESOURCE,DIAMOND,1288,ACTOR_ADD_SKIN,10202,,ADD_ITEM,102,30,ADD_ITEM,21,6,,,,,,,,,,2000,,
10502,限时李未央礼包,icon/item/giftbox_1,1800,648,350,ADD_RESOURCE,VIP_EXP,6480,,,ADD_RESOURCE,DIAMOND,1888,,,ACTOR_ADD_SKIN,10903,,,,ADD_ITEM,109,30,,,ADD_ITEM,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10502,ADD_RESOURCE,VIP_EXP,3240,ADD_RESOURCE,DIAMOND,1288,ACTOR_ADD_SKIN,10903,,ADD_ITEM,109,30,ADD_ITEM,21,6,,,,,,,,,,2000,,
10511,限时拓跋浚礼包,icon/item/giftbox_1,1800,648,350,ADD_RESOURCE,VIP_EXP,6480,,,ADD_RESOURCE,DIAMOND,1888,,,ACTOR_ADD_SKIN,10202,,,,ADD_ITEM,102,30,,,ADD_ITEM,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10511,ADD_RESOURCE,VIP_EXP,3240,ADD_RESOURCE,DIAMOND,1288,ACTOR_ADD_SKIN,10202,,ADD_ITEM,102,30,ADD_ITEM,21,6,,,,,,,,,,2000,,
10512,限时李未央礼包,icon/item/giftbox_1,1800,648,350,ADD_RESOURCE,VIP_EXP,6480,,,ADD_RESOURCE,DIAMOND,1888,,,ACTOR_ADD_SKIN,10903,,,,ADD_ITEM,109,30,,,ADD_ITEM,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10512,ADD_RESOURCE,VIP_EXP,3240,ADD_RESOURCE,DIAMOND,1288,ACTOR_ADD_SKIN,10903,,ADD_ITEM,109,30,ADD_ITEM,21,6,,,,,,,,,,2000,,
10521,限时拓跋浚礼包,icon/item/giftbox_1,1800,648,350,ADD_RESOURCE,VIP_EXP,6480,,,ADD_RESOURCE,DIAMOND,1888,,,ACTOR_ADD_SKIN,10202,,,,ADD_ITEM,102,30,,,ADD_ITEM,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10521,ADD_RESOURCE,VIP_EXP,3240,ADD_RESOURCE,DIAMOND,1288,ACTOR_ADD_SKIN,10202,,ADD_ITEM,102,30,ADD_ITEM,21,6,,,,,,,,,,2000,,
10522,限时李未央礼包,icon/item/giftbox_1,1800,648,350,ADD_RESOURCE,VIP_EXP,6480,,,ADD_RESOURCE,DIAMOND,1888,,,ACTOR_ADD_SKIN,10903,,,,ADD_ITEM,109,30,,,ADD_ITEM,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10522,ADD_RESOURCE,VIP_EXP,3240,ADD_RESOURCE,DIAMOND,1288,ACTOR_ADD_SKIN,10903,,ADD_ITEM,109,30,ADD_ITEM,21,6,,,,,,,,,,2000,,
10531,限时拓跋浚礼包,icon/item/giftbox_1,1800,648,350,ADD_RESOURCE,VIP_EXP,6480,,,ADD_RESOURCE,DIAMOND,1888,,,ACTOR_ADD_SKIN,10202,,,,ADD_ITEM,102,30,,,ADD_ITEM,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10531,ADD_RESOURCE,VIP_EXP,3240,ADD_RESOURCE,DIAMOND,1288,ACTOR_ADD_SKIN,10202,,ADD_ITEM,102,30,ADD_ITEM,21,6,,,,,,,,,,2000,,
10532,限时李未央礼包,icon/item/giftbox_1,1800,648,350,ADD_RESOURCE,VIP_EXP,6480,,,ADD_RESOURCE,DIAMOND,1888,,,ACTOR_ADD_SKIN,10903,,,,ADD_ITEM,109,30,,,ADD_ITEM,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10532,ADD_RESOURCE,VIP_EXP,3240,ADD_RESOURCE,DIAMOND,1288,ACTOR_ADD_SKIN,10903,,ADD_ITEM,109,30,ADD_ITEM,21,6,,,,,,,,,,2000,,
10541,限时拓跋浚礼包,icon/item/giftbox_1,1800,648,350,ADD_RESOURCE,VIP_EXP,6480,,,ADD_RESOURCE,DIAMOND,1888,,,ACTOR_ADD_SKIN,10202,,,,ADD_ITEM,102,30,,,ADD_ITEM,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10541,ADD_RESOURCE,VIP_EXP,3240,ADD_RESOURCE,DIAMOND,1288,ACTOR_ADD_SKIN,10202,,ADD_ITEM,102,30,ADD_ITEM,21,6,,,,,,,,,,2000,,
10542,限时李未央礼包,icon/item/giftbox_1,1800,648,350,ADD_RESOURCE,VIP_EXP,6480,,,ADD_RESOURCE,DIAMOND,1888,,,ACTOR_ADD_SKIN,10903,,,,ADD_ITEM,109,30,,,ADD_ITEM,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10542,ADD_RESOURCE,VIP_EXP,3240,ADD_RESOURCE,DIAMOND,1288,ACTOR_ADD_SKIN,10903,,ADD_ITEM,109,30,ADD_ITEM,21,6,,,,,,,,,,2000,,
10551,限时拓跋浚礼包,icon/item/giftbox_1,1800,648,350,ADD_RESOURCE,VIP_EXP,6480,,,ADD_RESOURCE,DIAMOND,1888,,,ACTOR_ADD_SKIN,10202,,,,ADD_ITEM,102,30,,,ADD_ITEM,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10551,ADD_RESOURCE,VIP_EXP,3240,ADD_RESOURCE,DIAMOND,1288,ACTOR_ADD_SKIN,10202,,ADD_ITEM,102,30,ADD_ITEM,21,6,,,,,,,,,,2000,,
10552,限时李未央礼包,icon/item/giftbox_1,1800,648,350,ADD_RESOURCE,VIP_EXP,6480,,,ADD_RESOURCE,DIAMOND,1888,,,ACTOR_ADD_SKIN,10903,,,,ADD_ITEM,109,30,,,ADD_ITEM,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10552,ADD_RESOURCE,VIP_EXP,3240,ADD_RESOURCE,DIAMOND,1288,ACTOR_ADD_SKIN,10903,,ADD_ITEM,109,30,ADD_ITEM,21,6,,,,,,,,,,2000,,
10561,限时拓跋浚礼包,icon/item/giftbox_1,1800,648,350,ADD_RESOURCE,VIP_EXP,6480,,,ADD_RESOURCE,DIAMOND,1888,,,ACTOR_ADD_SKIN,10202,,,,ADD_ITEM,102,30,,,ADD_ITEM,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10561,ADD_RESOURCE,VIP_EXP,3240,ADD_RESOURCE,DIAMOND,1288,ACTOR_ADD_SKIN,10202,,ADD_ITEM,102,30,ADD_ITEM,21,6,,,,,,,,,,2000,,
10562,限时李未央礼包,icon/item/giftbox_1,1800,648,350,ADD_RESOURCE,VIP_EXP,6480,,,ADD_RESOURCE,DIAMOND,1888,,,ACTOR_ADD_SKIN,10903,,,,ADD_ITEM,109,30,,,ADD_ITEM,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10562,ADD_RESOURCE,VIP_EXP,3240,ADD_RESOURCE,DIAMOND,1288,ACTOR_ADD_SKIN,10903,,ADD_ITEM,109,30,ADD_ITEM,21,6,,,,,,,,,,2000,,
10503,限时拓跋余礼包,icon/item/giftbox_1,1800,648,350,ADD_RESOURCE,VIP_EXP,6480,,,ADD_RESOURCE,DIAMOND,1288,,,ACTOR_ADD_SKIN,10301,,,,ADD_ITEM,103,30,,,ADD_ITEM,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10503,ADD_RESOURCE,VIP_EXP,3240,ADD_RESOURCE,DIAMOND,1288,ACTOR_ADD_SKIN,10301,,ADD_ITEM,103,30,ADD_ITEM,21,6,,,,,,,,,,2000,True,
10504,限时拓跋瑾礼包,icon/item/giftbox_1,1800,648,350,ADD_RESOURCE,VIP_EXP,6480,,,ADD_RESOURCE,DIAMOND,1288,,,ACTOR_ADD_SKIN,10501,,,,ADD_ITEM,105,30,,,ADD_ITEM,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10504,ADD_RESOURCE,VIP_EXP,3240,ADD_RESOURCE,DIAMOND,1288,ACTOR_ADD_SKIN,10501,,ADD_ITEM,105,30,ADD_ITEM,21,6,,,,,,,,,,2000,True,
10505,限时拓跋迪礼包,icon/item/giftbox_1,1800,648,350,ADD_RESOURCE,VIP_EXP,6480,,,ADD_RESOURCE,DIAMOND,1288,,,ACTOR_ADD_SKIN,10804,,,,ADD_ITEM,108,30,,,ADD_ITEM,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10505,ADD_RESOURCE,VIP_EXP,3240,ADD_RESOURCE,DIAMOND,1288,ACTOR_ADD_SKIN,10804,,ADD_ITEM,108,30,ADD_ITEM,21,6,,,,,,,,,,2000,True,
10506,限时高月离礼包,icon/item/giftbox_1,1800,648,350,ADD_RESOURCE,VIP_EXP,6480,,,ADD_RESOURCE,DIAMOND,1288,,,ACTOR_ADD_SKIN,10403,,,,ADD_ITEM,104,30,,,ADD_ITEM,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10506,ADD_RESOURCE,VIP_EXP,3240,ADD_RESOURCE,DIAMOND,1288,ACTOR_ADD_SKIN,10403,,ADD_ITEM,104,30,ADD_ITEM,21,6,,,,,,,,,,2000,True,
10507,限时李敏德礼包,icon/item/giftbox_1,1800,648,350,ADD_RESOURCE,VIP_EXP,6480,,,ADD_RESOURCE,DIAMOND,1288,,,ACTOR_ADD_SKIN,10101,,,,ADD_ITEM,101,30,,,ADD_ITEM,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10507,ADD_RESOURCE,VIP_EXP,3240,ADD_RESOURCE,DIAMOND,1288,ACTOR_ADD_SKIN,10101,,ADD_ITEM,101,30,ADD_ITEM,21,6,,,,,,,,,,2000,True,
10601,超值拓跋浚周礼包,icon/item/giftbox_1,1600,648,400,ADD_RESOURCE,VIP_EXP,6480,,,ADD_RESOURCE,DIAMOND,1688,,,ADD_ITEM,102,30,,,ADD_ITEM,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10601,ADD_RESOURCE,VIP_EXP,3240,ADD_RESOURCE,DIAMOND,1688,ADD_ITEM,102,30,ADD_ITEM,21,6,,,,,,,,,,,,,2000,True,
10602,超值李未央周礼包,icon/item/giftbox_1,1600,648,400,ADD_RESOURCE,VIP_EXP,6480,,,ADD_RESOURCE,DIAMOND,1688,,,ADD_ITEM,109,30,,,ADD_ITEM,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10602,ADD_RESOURCE,VIP_EXP,3240,ADD_RESOURCE,DIAMOND,1688,ADD_ITEM,109,30,ADD_ITEM,21,6,,,,,,,,,,,,,2000,True,
10603,超值拓跋余周礼包,icon/item/giftbox_1,1600,648,400,ADD_RESOURCE,VIP_EXP,6480,,,ADD_RESOURCE,DIAMOND,1688,,,ADD_ITEM,103,30,,,ADD_ITEM,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10603,ADD_RESOURCE,VIP_EXP,3240,ADD_RESOURCE,DIAMOND,1688,ADD_ITEM,103,30,ADD_ITEM,21,6,,,,,,,,,,,,,2000,True,
10604,超值拓跋瑾周礼包,icon/item/giftbox_1,1600,648,400,ADD_RESOURCE,VIP_EXP,6480,,,ADD_RESOURCE,DIAMOND,1688,,,ADD_ITEM,105,30,,,ADD_ITEM,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10604,ADD_RESOURCE,VIP_EXP,3240,ADD_RESOURCE,DIAMOND,1688,ADD_ITEM,105,30,ADD_ITEM,21,6,,,,,,,,,,,,,2000,True,
10605,超值拓跋迪周礼包,icon/item/giftbox_1,1600,648,400,ADD_RESOURCE,VIP_EXP,6480,,,ADD_RESOURCE,DIAMOND,1688,,,ADD_ITEM,108,30,,,ADD_ITEM,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10605,ADD_RESOURCE,VIP_EXP,3240,ADD_RESOURCE,DIAMOND,1688,ADD_ITEM,108,30,ADD_ITEM,21,6,,,,,,,,,,,,,2000,True,
10606,超值高月离周礼包,icon/item/giftbox_1,1600,648,400,ADD_RESOURCE,VIP_EXP,6480,,,ADD_RESOURCE,DIAMOND,1688,,,ADD_ITEM,104,30,,,ADD_ITEM,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10606,ADD_RESOURCE,VIP_EXP,3240,ADD_RESOURCE,DIAMOND,1688,ADD_ITEM,104,30,ADD_ITEM,21,6,,,,,,,,,,,,,2000,True,
10607,超值李敏德周礼包,icon/item/giftbox_1,1600,648,400,ADD_RESOURCE,VIP_EXP,6480,,,ADD_RESOURCE,DIAMOND,1688,,,ADD_ITEM,101,30,,,ADD_ITEM,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10607,ADD_RESOURCE,VIP_EXP,3240,ADD_RESOURCE,DIAMOND,1688,ADD_ITEM,101,30,ADD_ITEM,21,6,,,,,,,,,,,,,2000,True,
10701,30级限时礼包,icon/item/giftbox_1,130,6,50,ADD_RESOURCE,VIP_EXP,60,,,ADD_ITEM,1,10,,,ADD_ITEM,50,200,,,ADD_RESOURCE,TIAN_SHU_MO,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10701,ADD_RESOURCE,VIP_EXP,30,ADD_ITEM,1,10,ADD_ITEM,50,200,ADD_RESOURCE,TIAN_SHU_MO,100,,,,,,,,,,,,,2000,True,
10702,40级限时礼包,icon/item/giftbox_1,240,12,50,ADD_RESOURCE,VIP_EXP,120,,,ADD_RESOURCE,DIAMOND,120,,,ADD_ITEM,6915,10,,,ADD_ITEM,50,200,,,ADD_RESOURCE,TIAN_SHU_MO,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10702,ADD_RESOURCE,VIP_EXP,60,ADD_RESOURCE,DIAMOND,120,ADD_ITEM,6915,10,ADD_ITEM,50,200,ADD_RESOURCE,TIAN_SHU_MO,100,,,,,,,,,,2000,True,
10703,50级限时礼包,icon/item/giftbox_1,320,30,100,ADD_RESOURCE,VIP_EXP,300,,,ADD_RESOURCE,DIAMOND,300,,,ADD_RESOURCE,COUPON_B,5,,,ADD_ITEM,19,5,,,ADD_RESOURCE,TIAN_SHU_MO,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10703,ADD_RESOURCE,VIP_EXP,150,ADD_RESOURCE,DIAMOND,300,ADD_RESOURCE,COUPON_B,5,ADD_ITEM,19,5,ADD_RESOURCE,TIAN_SHU_MO,100,,,,,,,,,,2000,True,
10704,60级限时礼包,icon/item/giftbox_1,320,30,100,ADD_RESOURCE,VIP_EXP,300,,,ADD_RESOURCE,DIAMOND,300,,,ADD_ITEM,14001,1,,,ADD_ITEM,84,3,,,ADD_RESOURCE,TIAN_SHU_MO,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ks10704,ADD_RESOURCE,VIP_EXP,150,ADD_RESOURCE,DIAMOND,300,ADD_ITEM,14001,1,ADD_ITEM,84,3,ADD_RESOURCE,TIAN_SHU_MO,100,,,,,,,,,,2000,True,
10801,新婚贺喜礼盒,icon/item/giftbox_1,1288,98,100,ADD_ITEM,303001,1,,,ADD_HUANZHUANG_COLLECTION,HP_ERHUAN,105003,HP_ERHUAN,205003,ADD_HUANZHUANG_COLLECTION,HP_XIANGLIAN,106003,HP_XIANGLIAN,206003,ADD_HUANZHUANG_COLLECTION,HP_JIEZHI,107003,HP_JIEZHI,207003,ADD_RESOURCE,VIP_EXP,980,,,ADD_RESOURCE,DIAMOND,980,,,ADD_ITEM,6903,1,,,ADD_ITEM,8000,520,,,,,,,,,,,,,,,,,,,,ks10801,ADD_ITEM,303001,1,ADD_HUANZHUANG_COLLECTION,HP_ERHUAN,105003,ADD_HUANZHUANG_COLLECTION,HP_XIANGLIAN,106003,ADD_HUANZHUANG_COLLECTION,HP_JIEZHI,107003,ADD_RESOURCE,VIP_EXP,980,ADD_RESOURCE,DIAMOND,980,ADD_ITEM,6903,1,ADD_ITEM,8000,520,,True,
