id,name,icon,day_times_limit,unlock_conditions.conditions.type,unlock_conditions.conditions.arg,unlock_conditions.conditions.arg,unlock_conditions.conditions.type,unlock_conditions.conditions.arg,unlock_conditions.conditions.arg,challenge_conditions.conditions.type,challenge_conditions.conditions.arg,challenge_conditions.conditions.arg,challenge_conditions.conditions.type,challenge_conditions.conditions.arg,challenge_conditions.conditions.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.type,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,first_win_events.events.arg,win_events.events.type,win_events.events.arg,win_events.events.arg,win_events.events.type,win_events.events.arg,win_events.events.arg,win_events.events.type,win_events.events.arg,win_events.events.arg,first_great_events.events.type,first_great_events.events.arg,first_great_events.events.arg,first_great_events.events.type,first_great_events.events.arg,first_great_events.events.arg,battle_pttid,battle_drop_pttid,show_win_conditions,plot_pttid,huanzhuang_pttid,desc,sweep_conditions.conditions.type,sweep_conditions.conditions.arg
10019,第十九关,,3,PASS_ADVENTURE,10018,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,,,,,,ADD_ITEM,33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10016,12107,1,,,春茗拥有高额的毒系法术伤害！,VIP_LEVEL_GE,7
10020,第二十关,,,PASS_ADVENTURE,10019,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,10,,,,,,,,ADD_ITEM,33,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500140,,,,
10021,第二十一关,,99,PASS_ADVENTURE,10020,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,222,1,,,ADD_ITEM,33,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10017,10207,1,,,使用多个防御角色保护己方脆皮，抵御叱云府枪兵的攻击！,VIP_LEVEL_GE,7
10022,第二十二关,,99,PASS_ADVENTURE,10021,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,222,1,,,ADD_ITEM,33,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10018,10207,1,,,使用多个防御角色保护己方脆皮，抵御叱云府枪兵的攻击！\n叱云府弓兵会对后排目标造成超高伤害和眩晕，一定要小心！,VIP_LEVEL_GE,7
10023,第二十三关,,99,PASS_ADVENTURE,10022,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,222,1,,,ADD_ITEM,33,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10019,10207,1,,,使用多个防御角色保护己方脆皮，抵御叱云府枪兵的攻击！\n叱云府弓兵会对后排目标造成超高伤害和眩晕，一定要小心！,VIP_LEVEL_GE,7
10024,第二十四关,,3,PASS_ADVENTURE,10023,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,,,,,,ADD_ITEM,33,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10020,11207,1,,,叱云南拥有强大的物理输出能力！,VIP_LEVEL_GE,7
10025,第二十五关,,,PASS_ADVENTURE,10024,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,10,,,,,,,,ADD_ITEM,33,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500150,,,,
10026,第二十六关,,99,PASS_ADVENTURE,10025,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,206,1,,,ADD_ITEM,33,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10021,10207,1,,,使用多个防御角色保护己方脆皮，抵御叱云府枪兵的攻击！,VIP_LEVEL_GE,7
10027,第二十七关,,99,PASS_ADVENTURE,10026,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,206,1,,,ADD_ITEM,33,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10022,10207,1,,,使用多个防御角色保护己方脆皮，抵御叱云府枪兵的攻击！\n叱云府弓兵会对后排目标造成超高伤害和眩晕，一定要小心！,VIP_LEVEL_GE,7
10028,第二十八关,,99,PASS_ADVENTURE,10027,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,206,1,,,ADD_ITEM,33,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10023,10207,1,,,使用多个防御角色保护己方脆皮，抵御叱云府枪兵的攻击！\n叱云府弓兵会对后排目标造成超高伤害和眩晕，一定要小心！,VIP_LEVEL_GE,7
10029,第二十九关,,3,PASS_ADVENTURE,10028,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,,,,,,ADD_ITEM,33,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10024,12207,1,,,叱云柔会对血量最少的目标造成大量伤害！,VIP_LEVEL_GE,7
10030,第三十关,,,PASS_ADVENTURE,10029,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,10,,,,,,,,ADD_ITEM,33,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500160,,,,
10031,第一关,,99,LEVEL_GE,55,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,207,1,,,ADD_ITEM,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10025,10002,1,,,叱云府枪兵拥有丰富的近战作战技巧，每次攻击都能对对位敌人造成超高伤害和眩晕。使用多个防御角色保护己方脆皮，抵御攻击！,VIP_LEVEL_GE,7
10032,第二关,,99,PASS_ADVENTURE,10031,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,207,1,,,ADD_ITEM,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10026,10002,1,,,叱云府弓兵在沙场磨练出了恐怖的鹰眼技巧，他们的钢铁箭矢能够越过敌方前排，直接对后排敌军造成超高伤害和眩晕！,VIP_LEVEL_GE,7
10033,第三关,,99,PASS_ADVENTURE,10032,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,207,1,,,ADD_ITEM,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10027,10002,1,,,使用多个防御角色保护己方脆皮，抵御叱云府枪兵的攻击！\n叱云府弓兵会对后排目标造成超高伤害和眩晕，一定要小心！,VIP_LEVEL_GE,7
10034,第四关,,3,PASS_ADVENTURE,10033,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,,,,,,ADD_ITEM,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10028,11002,1,,,春茗拥有高额的毒系法术伤害！,VIP_LEVEL_GE,7
10035,第五关,,,PASS_ADVENTURE,10034,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,10,,,,,,,,ADD_ITEM,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500510,,,,
10036,第六关,,99,PASS_ADVENTURE,10035,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,209,1,,,ADD_ITEM,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10029,10002,1,,,使用多个防御角色保护己方脆皮，抵御叱云府枪兵的攻击！,VIP_LEVEL_GE,7
10037,第七关,,99,PASS_ADVENTURE,10036,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,209,1,,,ADD_ITEM,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10030,10002,1,,,使用多个防御角色保护己方脆皮，抵御叱云府枪兵的攻击！\n叱云府弓兵会对后排目标造成超高伤害和眩晕，一定要小心！,VIP_LEVEL_GE,7
10038,第八关,,99,PASS_ADVENTURE,10037,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,209,1,,,ADD_ITEM,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10031,10002,1,,,使用多个防御角色保护己方脆皮，抵御叱云府枪兵的攻击！\n叱云府弓兵会对后排目标造成超高伤害和眩晕，一定要小心！,VIP_LEVEL_GE,7
10039,第九关,,3,PASS_ADVENTURE,10038,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,,,,,,ADD_ITEM,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10032,12002,1,,,叱云华拥有高额的法系输出和削弱法术防御能力！,VIP_LEVEL_GE,7
10040,第十关,,,PASS_ADVENTURE,10039,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,10,,,,,,,,ADD_ITEM,41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500520,,,,
10041,第十一关,,99,PASS_ADVENTURE,10040,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,207,1,,,ADD_ITEM,41,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10033,10102,1,,,使用多个防御角色保护己方脆皮，抵御叱云府枪兵的攻击！,VIP_LEVEL_GE,7
10042,第十二关,,99,PASS_ADVENTURE,10041,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,207,1,,,ADD_ITEM,41,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10034,10102,1,,,使用多个防御角色保护己方脆皮，抵御叱云府枪兵的攻击！\n叱云府弓兵会对后排目标造成超高伤害和眩晕，一定要小心！,VIP_LEVEL_GE,7
10043,第十三关,,99,PASS_ADVENTURE,10042,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,207,1,,,ADD_ITEM,41,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10035,10102,1,,,使用多个防御角色保护己方脆皮，抵御叱云府枪兵的攻击！\n叱云府弓兵会对后排目标造成超高伤害和眩晕，一定要小心！,VIP_LEVEL_GE,7
10044,第十四关,,3,PASS_ADVENTURE,10043,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,,,,,,ADD_ITEM,41,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10036,11102,1,,,叱云海拥有强大的物理穿甲能力！,VIP_LEVEL_GE,7
10045,第十五关,,,PASS_ADVENTURE,10044,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,10,,,,,,,,ADD_ITEM,41,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500530,,,,
10046,第十六关,,99,PASS_ADVENTURE,10045,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,209,1,,,ADD_ITEM,41,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10037,10102,1,,,使用多个防御角色保护己方脆皮，抵御叱云府枪兵的攻击！,VIP_LEVEL_GE,7
10047,第十七关,,99,PASS_ADVENTURE,10046,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,209,1,,,ADD_ITEM,41,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10038,10102,1,,,使用多个防御角色保护己方脆皮，抵御叱云府枪兵的攻击！\n叱云府弓兵会对后排目标造成超高伤害和眩晕，一定要小心！,VIP_LEVEL_GE,7
10048,第十八关,,99,PASS_ADVENTURE,10047,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,209,1,,,ADD_ITEM,41,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10039,10102,1,,,使用多个防御角色保护己方脆皮，抵御叱云府枪兵的攻击！\n叱云府弓兵会对后排目标造成超高伤害和眩晕，一定要小心！,VIP_LEVEL_GE,7
10049,第十九关,,3,PASS_ADVENTURE,10048,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,,,,,,ADD_ITEM,41,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10040,12102,1,,,叱云天拥有强力的嘲讽能力和减伤能力！,VIP_LEVEL_GE,7
10050,第二十关,,,PASS_ADVENTURE,10049,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,10,,,,,,,,ADD_ITEM,41,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500540,,,,
10051,第二十一关,,99,PASS_ADVENTURE,10050,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,207,1,,,ADD_ITEM,41,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10041,10202,1,,,使用多个防御角色保护己方脆皮，抵御叱云府枪兵的攻击！,VIP_LEVEL_GE,7
10052,第二十二关,,99,PASS_ADVENTURE,10051,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,207,1,,,ADD_ITEM,41,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10042,10202,1,,,使用多个防御角色保护己方脆皮，抵御叱云府枪兵的攻击！\n叱云府弓兵会对后排目标造成超高伤害和眩晕，一定要小心！,VIP_LEVEL_GE,7
10053,第二十三关,,99,PASS_ADVENTURE,10052,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,207,1,,,ADD_ITEM,41,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10043,10202,1,,,使用多个防御角色保护己方脆皮，抵御叱云府枪兵的攻击！\n叱云府弓兵会对后排目标造成超高伤害和眩晕，一定要小心！,VIP_LEVEL_GE,7
10054,第二十四关,,3,PASS_ADVENTURE,10053,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,,,,,,ADD_ITEM,41,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10044,11202,1,,,叱云南拥有强大的物理输出能力！,VIP_LEVEL_GE,7
10055,第二十五关,,,PASS_ADVENTURE,10054,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,10,,,,,,,,ADD_ITEM,41,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500550,,,,
10056,第二十六关,,99,PASS_ADVENTURE,10055,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,209,1,,,ADD_ITEM,41,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10045,10202,1,,,使用多个防御角色保护己方脆皮，抵御叱云府枪兵的攻击！,VIP_LEVEL_GE,7
10057,第二十七关,,99,PASS_ADVENTURE,10056,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,209,1,,,ADD_ITEM,41,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10046,10202,1,,,使用多个防御角色保护己方脆皮，抵御叱云府枪兵的攻击！\n叱云府弓兵会对后排目标造成超高伤害和眩晕，一定要小心！,VIP_LEVEL_GE,7
10058,第二十八关,,99,PASS_ADVENTURE,10057,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,209,1,,,ADD_ITEM,41,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10047,10202,1,,,使用多个防御角色保护己方脆皮，抵御叱云府枪兵的攻击！\n叱云府弓兵会对后排目标造成超高伤害和眩晕，一定要小心！,VIP_LEVEL_GE,7
10059,第二十九关,,3,PASS_ADVENTURE,10058,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,,,,,,ADD_ITEM,41,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10048,12202,1,,,叱云天拥有强力的嘲讽和抵御能力！,VIP_LEVEL_GE,7
10060,第三十关,,,PASS_ADVENTURE,10059,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,10,,,,,,,,ADD_ITEM,41,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500560,,,,
10061,第一关,,99,LEVEL_GE,50,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,225,1,,,ADD_ITEM,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10049,10001,1,,,死士刺客是被豢养的最忠诚的死士，不惧死亡，以身殉道。最好将他留到最后进行攻击，防止被其一招拿下。,VIP_LEVEL_GE,7
10062,第二关,,99,PASS_ADVENTURE,10061,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,225,1,,,ADD_ITEM,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10050,10001,1,,,死士刺客是被豢养的最忠诚的死士，不惧死亡，以身殉道。最好将他留到最后进行攻击，防止被其一招拿下。,VIP_LEVEL_GE,7
10063,第三关,,99,PASS_ADVENTURE,10062,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,225,1,,,ADD_ITEM,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10051,10001,1,,,死士刺客是被豢养的最忠诚的死士，不惧死亡，以身殉道。最好将他留到最后进行攻击，防止被其一招拿下。,VIP_LEVEL_GE,7
10064,第四关,,3,PASS_ADVENTURE,10063,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,,,,,,ADD_ITEM,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10052,11001,1,,,古夜能够降低敌方的命中，并对前排造成物理单体伤害。,VIP_LEVEL_GE,7
10065,第五关,,,PASS_ADVENTURE,10064,,,,,,,,,,,ADD_RESOURCE,TIAN_SHU_MO,10,,,,,,,,ADD_ITEM,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500210,,,,
10066,第六关,,99,PASS_ADVENTURE,10065,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,227,1,,,ADD_ITEM,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10053,10001,1,,,孤影刺客修习绝世武学，擅长一招制敌，形影诡谲，宛若孤鸿。上阵高抗暴的伙伴，优先集火此人。,VIP_LEVEL_GE,7
10067,第七关,,99,PASS_ADVENTURE,10066,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,227,1,,,ADD_ITEM,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10054,10001,1,,,孤影刺客修习绝世武学，擅长一招制敌，形影诡谲，宛若孤鸿。上阵高抗暴的伙伴，优先集火此人。,VIP_LEVEL_GE,7
10068,第八关,,99,PASS_ADVENTURE,10067,,,,,COST_RESOURCE,POWER,10,COST_RESOURCE,ADVENTURE_CHANCE,1,ADD_RESOURCE,TIAN_SHU_MO,10,,,ADD_ITEM,227,1,,,ADD_ITEM,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADD_RESOURCE,GOLD,10000,ADD_RESOURCE,EXP,100,ADD_RESOURCE,ACTOR_EXP,2000,,,,,,,10055,10001,1,,,孤影刺客修习绝世武学，擅长一招制敌，形影诡谲，宛若孤鸿。上阵高抗暴的伙伴，优先集火此人。,VIP_LEVEL_GE,7
